,Run_ID,Instellation (S0),Albedo,P_CO2 (bar),Surface_Temp (K),Status
0,test,0.1,0.0,1e-07,190.0,Snowball
1,test,0.1,0.0,1e-06,190.0,Snowball
2,test,0.1,0.0,1e-05,190.0,Snowball
3,test,0.1,0.0,0.0001,190.0,Snowball
4,test,0.1,0.0,0.001,190.0,Snowball
5,test,0.1,0.0,0.01,190.0,Snowball
6,test,0.1,0.0,0.1,190.0,Snowball
7,test,0.1,0.0,1.0,190.0,Snowball
8,test,0.1,0.0,10.0,190.0,Snowball
9,test,0.1,0.25,1e-07,190.0,Snowball
10,test,0.1,0.25,1e-06,190.0,Snowball
11,test,0.1,0.25,1e-05,190.0,Snowball
12,test,0.1,0.25,0.0001,190.0,Snowball
13,test,0.1,0.25,0.001,190.0,Snowball
14,test,0.1,0.25,0.01,190.0,Snowball
15,test,0.1,0.25,0.1,190.0,Snowball
16,test,0.1,0.25,1.0,190.0,Snowball
17,test,0.1,0.25,10.0,190.0,Snowball
18,test,0.1,0.5,1e-07,190.0,Snowball
19,test,0.1,0.5,1e-06,190.0,Snowball
20,test,0.1,0.5,1e-05,190.0,Snowball
21,test,0.1,0.5,0.0001,190.0,Snowball
22,test,0.1,0.5,0.001,190.0,Snowball
23,test,0.1,0.5,0.01,190.0,Snowball
24,test,0.1,0.5,0.1,190.0,Snowball
25,test,0.1,0.5,1.0,190.0,Snowball
26,test,0.1,0.5,10.0,190.0,Snowball
27,test,0.2,0.0,1e-07,184.04042365479376,Success
28,test,0.2,0.0,1e-06,184.92843693439897,Success
29,test,0.2,0.0,1e-05,190.0,Snowball
30,test,0.2,0.0,0.0001,190.0,Snowball
31,test,0.2,0.0,0.001,190.0,Snowball
32,test,0.2,0.0,0.01,190.0,Snowball
33,test,0.2,0.0,0.1,190.0,Snowball
34,test,0.2,0.0,1.0,190.0,Snowball
35,test,0.2,0.0,10.0,190.0,Snowball
36,test,0.2,0.25,1e-07,190.0,Snowball
37,test,0.2,0.25,1e-06,190.0,Snowball
38,test,0.2,0.25,1e-05,190.0,Snowball
39,test,0.2,0.25,0.0001,190.0,Snowball
40,test,0.2,0.25,0.001,190.0,Snowball
41,test,0.2,0.25,0.01,190.0,Snowball
42,test,0.2,0.25,0.1,190.0,Snowball
43,test,0.2,0.25,1.0,190.0,Snowball
44,test,0.2,0.25,10.0,190.0,Snowball
45,test,0.2,0.5,1e-07,190.0,Snowball
46,test,0.2,0.5,1e-06,190.0,Snowball
47,test,0.2,0.5,1e-05,190.0,Snowball
48,test,0.2,0.5,0.0001,190.0,Snowball
49,test,0.2,0.5,0.001,190.0,Snowball
